# ==================== BEGIN ResultDisplay ====================

RESULT-DISPLAY-CHAT-PROMPT-ALL-SENTINEL     all
# ==================== BEGIN TeleportDisplay ====================

TELEPORT-DISPLAY-TITLE &8Shop-Teleport &e{loc_x} {loc_y} {loc_z}

TELEPORT-DISPLAY-BACK-NAME                        &8» &6Back &8«
TELEPORT-DISPLAY-BACK-LORE-LEFT-CLICK-DESCRIPTION &8➥ &eLeft-Click &7Return to the shop-browser

TELEPORT-DISPLAY-SHOP-LOCATION-NAME                        &8» &6Shop-Location &8«
TELEPORT-DISPLAY-SHOP-LOCATION-LORE-LOCATION-COORDINATES   &8♦ &7Coordinates: &e{loc_x} {loc_y} {loc_z}
TELEPORT-DISPLAY-SHOP-LOCATION-LORE-LOCATION-WORLD         &8♦ &7World: &e{loc_world}
TELEPORT-DISPLAY-SHOP-LOCATION-LORE-DISTANCE               &8♦ &7Distance: &e{distance} Blocks
TELEPORT-DISPLAY-SHOP-LOCATION-LORE-DISTANCE-OTHER-WORLD   &8♦ &7Distance: &cDifferent World
TELEPORT-DISPLAY-SHOP-LOCATION-LORE-LEFT-CLICK-DESCRIPTION &8➥ &eLeft-Click &7Teleport to the shop-location

TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-NAME                        &8» &6Nearest Player-Warp &8«
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-LOCATION-NAME          &8♦ &7Name: &e{player_warp_name}
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-LOCATION-OWNER         &8♦ &7Owner: &e{player_warp_owner}
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-LOCATION-COORDINATES   &8♦ &7Coordinates: &e{player_warp_x} {player_warp_y} {player_warp_z}
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-LOCATION-WORLD         &8♦ &7World: &e{player_warp_world}
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-DISTANCE               &8♦ &7Distance: &e{player_warp_distance} Blocks
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-LEFT-CLICK-DESCRIPTION &8➥ &eLeft-Click &7Teleport to the player-warp
TELEPORT-DISPLAY-NEAREST-PLAYER-WARP-LOCATION-LORE-HAS-NONE               &8➥ &cNo player-warp available

# ==================== END TeleportDisplay ====================

# ==================== BEGIN Messages ====================

MESSAGE-PREFIX                              &7[&6QuickShopSearch&7]
# - prefix: String
MESSAGE-EMPTY-PREDICATE                     {prefix} &cLütfen boş olmayan bir metin sağlayın.
# - prefix: String
MESSAGE-NO-MATCHES                          {prefix} &cSorgunuza dair hiçbir eşleşme bulunamadı.
# - name: String
# - owner: String
# - item_type: String
# - loc_world: String
# - loc_x: Integer
# - loc_y: Integer
# - loc_z: Integer
# - distance: Integer
# - remaining_space: Integer
# - remaining_stock: Integer
# - price: Double
# - prefix: String
MESSAGE-BEFORE-TELEPORTING                  {prefix} &e{owner} &7kişisinin &7&e{loc_x}&7, &e{loc_y}&7, &e{loc_z}&7 &7konumundaki marketine ışınlandın.
# - name: String
# - owner: String
# - item_type: String
# - loc_world: String
# - loc_x: Integer
# - loc_y: Integer
# - loc_z: Integer
# - distance: Integer
# - remaining_space: Integer
# - remaining_stock: Integer
# - price: Double
# - prefix: String
# - player_warp_owner: String
# - player_warp_name: String
# - player_warp_world: String
# - player_warp_x: Integer
# - player_warp_y: Integer
# - player_warp_z: Integer
# - player_warp_distance: Integer
MESSAGE-BEFORE-TELEPORTING-NEAREST-PLAYER-WARP {prefix} &7Teleporting to the nearest player-warp &e{player_warp_name} &7at &e{player_warp_x}&7, &e{player_warp_y}&7, &e{player_warp_z} &7of the Shop of &e{owner} &7at &e{loc_x}&7, &e{loc_y}&7, &e{loc_z}&7.
# - number_shops: Integer
# - predicate: String
# - prefix: String
MESSAGE-BEFORE-QUERYING                     {prefix} &e{number_shops} &7adet market &e{predicate} &7için sorgulanıyor&7...
# - number_shops: Integer
# - prefix: String
MESSAGE-QUERYING-ALL-SHOPS                  {prefix} &7(&e{number_shops}&7) &7Marketin hepsi sorgulanıyor&7...
MESSAGE-USAGE-QSSL-LANGUAGE-ITEM-COLOR      &e
MESSAGE-USAGE-QSSL-LANGUAGE-SEPARATOR-COLOR &7
# label: String
# language_list: String
# - prefix: String
MESSAGE-USAGE-QSSL-LANGUAGE                 {prefix} &7Kullanım: /{label} <{language_list}&7> [Predicate]
# - user_input: String
# - prefix: String
# Displayed in the action-bar
MESSAGE-UNKNOWN-LANGUAGE                    &cBilinmeyen dil: &4{user_input}&c.
# - prefix: String
MESSAGE-PLUGIN-RELOAD                       {prefix} &7Eklenti &ebaşarıyla &7yeniden yüklendi.
# - prefix: String
MESSAGE-PLUGIN-RELOAD-ERROR                 {prefix} &cEklentiyi yeniden yüklemeye çalışırken bir hata oluştu. Konsolu kontrol edin!
# - error_message: String
# - prefix: String
MESSAGE-PREDICATE-ERROR                     {prefix} {error_message}
# - flag_name: String
# - flag_value: String
# - prefix: String
MESSAGE-SEARCH-FLAG-ERROR                   {prefix} &cInvalid value &4{flag_value} &cfor search-flag &4{flag_name}&c!
# - name: String
# - owner: String
# - item_type: String
# - loc_world: String
# - loc_x: Integer
# - loc_y: Integer
# - loc_z: Integer
# - distance: Integer
# - remaining_space: Integer
# - remaining_stock: Integer
# - price: Double
# - max_units: Integer
# - limiting_factor: String
# - cancel_sentinel: String
# - limiting_factor: String
# - fees_absolute: Zero | String
# - fees_relative: Double
# - fees_relative_value: Zero | String
# - fees_total_value: Zero | String
# - fees_final_price: String
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-BUYING          {prefix} &7Enter in chat, how many items of &e{item_type} &7you wish to &eSELL &7for &e{fees_final_price} &7each; type "&a{all_sentinel}&7" for &e{max_units} unit(s) &7(limiting-factor: &e{limiting_factor}&7); type "&c{cancel_sentinel}&7" to exit.
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-SELLING         {prefix} &7Enter in chat, how many items of &e{item_type} &7you wish to &eBUY &7for &e{fees_final_price} &7each; type "&a{all_sentinel}&7" for &e{max_units} unit(s) &7(limiting-factor: &e{limiting_factor}&7); type "&c{cancel_sentinel}&7" to exit.
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-TIMEOUT         {prefix} &cÖnceki işleminiz zaman aşımına uğradı!
# - amount: Integer
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-DISPATCH        {prefix} &7&e{amount}x {item_type} &7talebiniz &eMağaza&7'ya iletiliyor...
# - input: String
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-INVALID-INPUT   {prefix} &cGirdiğiniz &4{input} &cdeğeri sıfırdan büyük bir tamsayıya benzemiyor!
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-CANCEL-PREVIOUS {prefix} &cÖnceki işleminiz iptal edildi!
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-CANCEL-CURRENT  {prefix} &cMevcut işleminiz iptal edildi!
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-PLAYER-SPACE space of your inventory
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-PLAYER-STOCK stock of your inventory
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-SHOP-SPACE   space of the shop
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-SHOP-STOCK   stock of the shop
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-SELLER-FUNDS the seller's funds
MESSAGE-SHOP-INTERACT-PROMPT-LIMITING-FACTOR-BUYER-FUNDS  your funds
# - fees_absolute: Zero | String
# - fees_relative: Double
# - fees_relative_value: Zero | String
# - fees_total_value: Zero | String
# - fees_final_price: String
# - prefix: String
MESSAGE-SHOP-INTERACT-PROMPT-FEES-WARNING     {prefix} &e&lWarning! &7This shop is assigned with a distance-fee of &e{fees_total_value} &7per unit!
# - prefix: String
MESSAGE-SHOP-INTERACT-PENDING-FEES-TASK       {prefix} &cThere's still a distance-fee task pending - please wait a few moments before trying again!
# - fees_amount: String
# - prefix: String
MESSAGE-SHOP-INTERACT-COULD-NOT-WITHDRAW-FEES {prefix} &cCould not withdraw the distance-fee of &4{fees_amount}&c; cancelling interaction!
# - fees_amount: String
# - prefix: String
MESSAGE-SHOP-INTERACT-WITHDRAWN-FEES          {prefix} &7You have been withdrawn a distance-fee of &e{fees_amount}&7!
# - fees_amount: String
# - prefix: String
MESSAGE-SHOP-INTERACT-PAYED-BACK-FEES         {prefix} &7Due to the corresponding transaction stalling, the distance-fee of &e{fees_amount} &7has been refunded!
# - fees_amount: String
# - prefix: String
MESSAGE-SHOP-INTERACT-COULD-NOT-PAY-BACK-FEES {prefix} &cThe corresponding transaction stalled, but refunding the distance-fee failed; report this incident to a member of the team and ask for a manual refund (see server-logs)!
# - prefix: String
MESSAGE-SHOP-INTERACT-PLAYER-HAS-NO-SPACE    {prefix} &cYou do not have enough space in your inventory.
# - prefix: String
MESSAGE-SHOP-INTERACT-PLAYER-HAS-NO-STOCK    {prefix} &cYou hold no items to sell in your inventory.
# - prefix: String
MESSAGE-SHOP-INTERACT-SHOP-HAS-NO-SPACE      {prefix} &cThe shop has no space left to hold your items.
# - prefix: String
MESSAGE-SHOP-INTERACT-SHOP-HAS-NO-STOCK      {prefix} &cThe shop has no items left to buy.
# - prefix: String
MESSAGE-SHOP-INTERACT-SELLER-INSUFFICIENT-FUNDS {prefix} &cThe shop-owner &4{owner} &cdoes not have enough money to buy any items from you.
# - prefix: String
MESSAGE-SHOP-INTERACT-BUYER-INSUFFICIENT-FUNDS  {prefix} &cYou do not have enough money to buy any items.

# - prefix: String
MESSAGE-MISSING-PERMISSION-MAIN-COMMAND                 {prefix} &cAna komutu kullanmak için izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-LANGUAGE-COMMAND             {prefix} &cDil komutunu kullanmak için izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-RELOAD-COMMAND               {prefix} &cEklentiyi yeniden yükleme komutunu kullanmak için izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-ADVERTISE-COMMAND            {prefix} &cYou don't have permission to use the advertise-command.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-SORT                 {prefix} &cSıralamayı kullanma izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-FILTER               {prefix} &cFiltrelemeyi kullanma izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-TELEPORT             {prefix} &cIşınlanmayı kullanma izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-TELEPORT-OTHER-WORLD {prefix} &cDiğer dünyalara ışınlanma izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-INTERACT             {prefix} &cEtkileşimi kullanmak için izniniz yok.
# - prefix: String
MESSAGE-MISSING-PERMISSION-FEATURE-INTERACT-OTHER-WORLD {prefix} &cDiğer dünyalarda etkileşime geçme izniniz yok.

# - prefix: String
MESSAGE-ADVERTISE-DESCRIPTION         &eToggle whether your shop is being advertised on /qss
# - prefix: String
MESSAGE-ADVERTISE-NOT-LOOKING-AT-SHOP {prefix} &cYou're not currently looking at a shop.
# - prefix: String
MESSAGE-ADVERTISE-NOT-THE-OWNER       {prefix} &cYou're not the owner of that shop.
# - prefix: String
MESSAGE-ADVERTISE-TOGGLE-ERROR        {prefix} &cAn internal error occurred while trying to toggle the advertising-state; please report this issue to a team-member.
# - name: String
# - owner: String
# - item_type: String
# - loc_world: String
# - loc_x: Integer
# - loc_y: Integer
# - loc_z: Integer
# - distance: Integer
# - remaining_space: Integer
# - remaining_stock: Integer
# - price: Double
# - prefix: String
MESSAGE-ADVERTISE-ENABLED-SELF        {prefix} &7You are &anow &7advertising your shop at &e{loc_x}&7, &e{loc_y}&7, &e{loc_z}&7.
MESSAGE-ADVERTISE-ENABLED-OTHER       {prefix} &7The shop of &e{owner} &7at &e{loc_x}&7, &e{loc_y}&7, &e{loc_z} &7is &anow &7advertised.
MESSAGE-ADVERTISE-DISABLED-SELF       {prefix} &7You are &cno longer &7advertising your shop at &e{loc_x}&7, &e{loc_y}&7, &e{loc_z}&7.
MESSAGE-ADVERTISE-DISABLED-OTHER      {prefix} &7The shop of &e{owner} &7at &e{loc_x}&7, &e{loc_y}&7, &e{loc_z} &7is &cno longer &7advertised.

# - duration: String
MESSAGE-PENDING-COOLDOWN-FEATURE-TELEPORT-SAME-SHOP         {prefix} &7Please wait another {duration}&7, until you teleport to the &csame shop &7again!
# - duration: String
MESSAGE-PENDING-COOLDOWN-FEATURE-TELEPORT-ANY-SHOP          {prefix} &7Please wait another {duration}&7, until you teleport to a &cshop &7again!
# - duration: String
MESSAGE-PENDING-COOLDOWN-FEATURE-TELEPORT-OTHER-WORLD-SAME-SHOP  {prefix} &7Please wait another {duration}&7, until you teleport to the &csame shop in another world &7again!
# - duration: String
MESSAGE-PENDING-COOLDOWN-FEATURE-TELEPORT-OTHER-WORLD-ANY-SHOP   {prefix} &7Please wait another {duration}&7, until you teleport to a &cshop in another world &7again!

MESSAGE-COOLDOWN-FORMAT-DAYS-SINGULAR-SUFFIX      \ &cday
MESSAGE-COOLDOWN-FORMAT-DAYS-PLURAL-SUFFIX        \ &cdays
MESSAGE-COOLDOWN-FORMAT-HOURS-SINGULAR-SUFFIX     \ &chour
MESSAGE-COOLDOWN-FORMAT-HOURS-PLURAL-SUFFIX       \ &chours
MESSAGE-COOLDOWN-FORMAT-MINUTES-SINGULAR-SUFFIX   \ &cminute
MESSAGE-COOLDOWN-FORMAT-MINUTES-PLURAL-SUFFIX     \ &cminutes
MESSAGE-COOLDOWN-FORMAT-SECONDS-SINGULAR-SUFFIX   \ &csecond
MESSAGE-COOLDOWN-FORMAT-SECONDS-PLURAL-SUFFIX     \ &cseconds
MESSAGE-COOLDOWN-FORMAT-PART-SEPARATOR            &7, \
MESSAGE-COOLDOWN-FORMAT-PART-PREFIX               &c

MESSAGE-SLOW-TELEPORT-HAS-MOVED                 {prefix} &cYou have moved - cancelling teleport!
# - attacker: String
MESSAGE-SLOW-TELEPORT-HAS-BEEN-ATTACKED         {prefix} &cYou were attacked by &4{attacker} &c- cancelling teleport!
# - victim: String
MESSAGE-SLOW-TELEPORT-ATTACKED-SOMEBODY         {prefix} &cYou attacked &4{victim} &c- cancelling teleport!
MESSAGE-SLOW-TELEPORT-TOOK-DAMAGE-BY-NON-PLAYER {prefix} &cYou took damage - cancelling teleport!
MESSAGE-SLOW-TELEPORT-TELEPORTED                {prefix} &aYou have been teleported!
MESSAGE-SLOW-TELEPORT-IN-COMBAT-TITLE           &c&lIn Combat
# - remaining_seconds: Integer
MESSAGE-SLOW-TELEPORT-IN-COMBAT-SUBTITLE        &cStand still for {remaining_seconds}s
MESSAGE-SLOW-TELEPORT-NOT-IN-COMBAT-TITLE       &3&lTeleporting
# - remaining_seconds: Integer
MESSAGE-SLOW-TELEPORT-NOT-IN-COMBAT-SUBTITLE    &bStand still for {remaining_seconds}s

# - prefix: String
# - player_warp_owner: String
# - player_warp_name: String
# - player_warp_world: String
# - player_warp_x: Integer
# - player_warp_y: Integer
# - player_warp_z: Integer
# - player_warp_distance: Integer
MESSAGE-NEAREST-PLAYER-WARP-BANNED {prefix} &cYou're banned from the nearest player-warp &4{player_warp_name} &cby &4{player_warp_owner} &c- teleporting to the shop instead!

COMMAND-QSS-SEARCH-FLAG-OWNER     Owner
COMMAND-QSS-SEARCH-FLAG-RADIUS    Radius
COMMAND-QSS-SEARCH-FLAG-PRICE     Price
COMMAND-QSS-SEARCH-FLAG-MAX-PRICE Max-Price
COMMAND-QSS-SEARCH-FLAG-MIN-PRICE Min-Price

# ==================== END Messages ====================
